11/5/23|11:00|24
11/5/23|11:00|24
11/5/23|11:10|22
11/5/23|11:20|23
11/5/23|11:30|24
11/5/23|11:40|25
11/5/23|11:50|24
11/5/23|12:00|24
11/5/23|12:10|22
11/5/23|12:20|23
11/5/23|12:30|24
11/5/23|12:40|25
11/5/23|12:50|24
11/5/23|13:00|24
11/5/23|13:10|22
11/5/23|13:20|23
11/5/23|13:30|24
11/5/23|13:40|25
11/5/23|13:50|24
11/5/23|14:00|24
11/5/23|14:10|22
11/5/23|14:20|23
11/5/23|14:30|24
11/5/23|14:40|25
11/5/23|14:50|24
11/5/23|15:00|24
11/5/23|15:10|22
11/5/23|15:20|23
11/5/23|15:30|24
11/5/23|15:40|25
11/5/23|15:50|24
11/5/23|16:00|24
11/5/23|16:10|22
11/5/23|16:20|23
11/5/23|16:30|24
11/5/23|16:40|25
11/5/23|16:50|24
11/5/23|17:00|25
